0:2:2:1:2:12	Leaf terminal cluster 0:2:2:1:2:12	Leaf terminal cluster 0:2:2:1:2:12
0:2:2:23	Leaf terminal cluster 0:2:2:23	Leaf terminal cluster 0:2:2:23
0:2:1:1:19	Leaf terminal cluster 0:2:1:1:19	Leaf terminal cluster 0:2:1:1:19
0:1:5:9	Leaf terminal cluster 0:1:5:9	Leaf terminal cluster 0:1:5:9
0:1:7:33	Leaf terminal cluster 0:1:7:33	Leaf terminal cluster 0:1:7:33
0:1:3:25	Leaf terminal cluster 0:1:3:25	Leaf terminal cluster 0:1:3:25
0:1:9:12	Leaf terminal cluster 0:1:9:12	Leaf terminal cluster 0:1:9:12
0:117	Leaf terminal cluster 0:117	Leaf terminal cluster 0:117
0:1:1:80	Leaf terminal cluster 0:1:1:80	Leaf terminal cluster 0:1:1:80
0:2:2:11:3	Leaf terminal cluster 0:2:2:11:3	Leaf terminal cluster 0:2:2:11:3
0:2:1:1:107	Leaf terminal cluster 0:2:1:1:107	Leaf terminal cluster 0:2:1:1:107
0:2:2:16:8	Leaf terminal cluster 0:2:2:16:8	Leaf terminal cluster 0:2:2:16:8
0:2:2:11:4:2	Leaf terminal cluster 0:2:2:11:4:2	Leaf terminal cluster 0:2:2:11:4:2
0:2:1:3:8	Leaf terminal cluster 0:2:1:3:8	Leaf terminal cluster 0:2:1:3:8
0:1:1:17	Leaf terminal cluster 0:1:1:17	Leaf terminal cluster 0:1:1:17
0:254	Leaf terminal cluster 0:254	Leaf terminal cluster 0:254
0:1:11:2	Leaf terminal cluster 0:1:11:2	Leaf terminal cluster 0:1:11:2
0:402	Leaf terminal cluster 0:402	Leaf terminal cluster 0:402
0:18:1	Leaf terminal cluster 0:18:1	Leaf terminal cluster 0:18:1
0:2:2:2:65	Leaf terminal cluster 0:2:2:2:65	Leaf terminal cluster 0:2:2:2:65
0:1:6:4	Leaf terminal cluster 0:1:6:4	Leaf terminal cluster 0:1:6:4
0:396	Leaf terminal cluster 0:396	Leaf terminal cluster 0:396
0:1:1:7	Leaf terminal cluster 0:1:1:7	Leaf terminal cluster 0:1:1:7
0:1:1:11	Leaf terminal cluster 0:1:1:11	Leaf terminal cluster 0:1:1:11
0:2:1:1:23	Leaf terminal cluster 0:2:1:1:23	Leaf terminal cluster 0:2:1:1:23
0:1:4:43	Leaf terminal cluster 0:1:4:43	Leaf terminal cluster 0:1:4:43
0:1:3:118	Leaf terminal cluster 0:1:3:118	Leaf terminal cluster 0:1:3:118
0:1:1:113	Leaf terminal cluster 0:1:1:113	Leaf terminal cluster 0:1:1:113
0:1:8:3:1	Leaf terminal cluster 0:1:8:3:1	Leaf terminal cluster 0:1:8:3:1
0:1:4:3:2	Leaf terminal cluster 0:1:4:3:2	Leaf terminal cluster 0:1:4:3:2
0:1:5:47	Leaf terminal cluster 0:1:5:47	Leaf terminal cluster 0:1:5:47
0:2:1:1:341:2	Leaf terminal cluster 0:2:1:1:341:2	Leaf terminal cluster 0:2:1:1:341:2
0:2:1:1:109	Leaf terminal cluster 0:2:1:1:109	Leaf terminal cluster 0:2:1:1:109
0:2:1:4:7	Leaf terminal cluster 0:2:1:4:7	Leaf terminal cluster 0:2:1:4:7
0:10:1	Leaf terminal cluster 0:10:1	Leaf terminal cluster 0:10:1
0:1:7:16	Leaf terminal cluster 0:1:7:16	Leaf terminal cluster 0:1:7:16
0:1:3:92	Leaf terminal cluster 0:1:3:92	Leaf terminal cluster 0:1:3:92
